y,x,zone,phase_zone,S21_ang_deg_floqport,unique_name,top_length_2_mm,top_length_3_mm,x_abs,y_abs
0,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,0.0
0,1,9,9,-218.479861015916,1.7_1.9,1.7,1.9,2.367,0.0
0,2,9,9,-218.479861015916,1.7_1.9,1.7,1.9,4.734,0.0
0,3,9,9,-218.479861015916,1.7_1.9,1.7,1.9,7.101,0.0
0,4,9,9,-218.479861015916,1.7_1.9,1.7,1.9,9.468,0.0
0,5,9,9,-218.479861015916,1.7_1.9,1.7,1.9,11.835,0.0
0,6,9,9,-218.479861015916,1.7_1.9,1.7,1.9,14.202,0.0
0,7,9,9,-218.479861015916,1.7_1.9,1.7,1.9,16.569,0.0
0,8,9,9,-218.479861015916,1.7_1.9,1.7,1.9,18.936,0.0
0,9,9,9,-218.479861015916,1.7_1.9,1.7,1.9,21.303,0.0
1,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,2.367
1,1,7,7,-164.109986003215,1.7_1.7,1.7,1.7,2.367,2.367
1,2,7,7,-164.109986003215,1.7_1.7,1.7,1.7,4.734,2.367
1,3,7,7,-164.109986003215,1.7_1.7,1.7,1.7,7.101,2.367
1,4,7,7,-164.109986003215,1.7_1.7,1.7,1.7,9.468,2.367
1,5,7,7,-164.109986003215,1.7_1.7,1.7,1.7,11.835,2.367
1,6,7,7,-164.109986003215,1.7_1.7,1.7,1.7,14.202,2.367
1,7,7,7,-164.109986003215,1.7_1.7,1.7,1.7,16.569,2.367
1,8,7,7,-164.109986003215,1.7_1.7,1.7,1.7,18.936,2.367
1,9,9,9,-218.479861015916,1.7_1.9,1.7,1.9,21.303,2.367
2,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,4.734
2,1,7,7,-164.109986003215,1.7_1.7,1.7,1.7,2.367,4.734
2,2,5,5,-163.011344937936,1.7_0.1,1.7,0.1,4.734,4.734
2,3,5,5,-163.011344937936,1.7_0.1,1.7,0.1,7.101,4.734
2,4,5,5,-163.011344937936,1.7_0.1,1.7,0.1,9.468,4.734
2,5,5,5,-163.011344937936,1.7_0.1,1.7,0.1,11.835,4.734
2,6,5,5,-163.011344937936,1.7_0.1,1.7,0.1,14.202,4.734
2,7,5,5,-163.011344937936,1.7_0.1,1.7,0.1,16.569,4.734
2,8,7,7,-164.109986003215,1.7_1.7,1.7,1.7,18.936,4.734
2,9,9,9,-218.479861015916,1.7_1.9,1.7,1.9,21.303,4.734
3,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,7.101
3,1,7,7,-164.109986003215,1.7_1.7,1.7,1.7,2.367,7.101
3,2,5,5,-163.011344937936,1.7_0.1,1.7,0.1,4.734,7.101
3,3,3,3,-162.243395584195,1.7_0.7,1.7,0.7,7.101,7.101
3,4,3,3,-162.243395584195,1.7_0.7,1.7,0.7,9.468,7.101
3,5,3,3,-162.243395584195,1.7_0.7,1.7,0.7,11.835,7.101
3,6,3,3,-162.243395584195,1.7_0.7,1.7,0.7,14.202,7.101
3,7,5,5,-163.011344937936,1.7_0.1,1.7,0.1,16.569,7.101
3,8,7,7,-164.109986003215,1.7_1.7,1.7,1.7,18.936,7.101
3,9,9,9,-218.479861015916,1.7_1.9,1.7,1.9,21.303,7.101
4,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,9.468
4,1,7,7,-164.109986003215,1.7_1.7,1.7,1.7,2.367,9.468
4,2,5,5,-163.011344937936,1.7_0.1,1.7,0.1,4.734,9.468
4,3,3,3,-162.243395584195,1.7_0.7,1.7,0.7,7.101,9.468
4,4,1,1,-154.633998955782,1.7_1.1,1.7,1.1,9.468,9.468
4,5,1,1,-154.633998955782,1.7_1.1,1.7,1.1,11.835,9.468
4,6,3,3,-162.243395584195,1.7_0.7,1.7,0.7,14.202,9.468
4,7,5,5,-163.011344937936,1.7_0.1,1.7,0.1,16.569,9.468
4,8,7,7,-164.109986003215,1.7_1.7,1.7,1.7,18.936,9.468
4,9,9,9,-218.479861015916,1.7_1.9,1.7,1.9,21.303,9.468
5,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,11.835
5,1,7,7,-164.109986003215,1.7_1.7,1.7,1.7,2.367,11.835
5,2,5,5,-163.011344937936,1.7_0.1,1.7,0.1,4.734,11.835
5,3,3,3,-162.243395584195,1.7_0.7,1.7,0.7,7.101,11.835
5,4,1,1,-154.633998955782,1.7_1.1,1.7,1.1,9.468,11.835
5,5,1,1,-154.633998955782,1.7_1.1,1.7,1.1,11.835,11.835
5,6,3,3,-162.243395584195,1.7_0.7,1.7,0.7,14.202,11.835
5,7,5,5,-163.011344937936,1.7_0.1,1.7,0.1,16.569,11.835
5,8,7,7,-164.109986003215,1.7_1.7,1.7,1.7,18.936,11.835
5,9,9,9,-218.479861015916,1.7_1.9,1.7,1.9,21.303,11.835
6,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,14.202
6,1,7,7,-164.109986003215,1.7_1.7,1.7,1.7,2.367,14.202
6,2,5,5,-163.011344937936,1.7_0.1,1.7,0.1,4.734,14.202
6,3,3,3,-162.243395584195,1.7_0.7,1.7,0.7,7.101,14.202
6,4,3,3,-162.243395584195,1.7_0.7,1.7,0.7,9.468,14.202
6,5,3,3,-162.243395584195,1.7_0.7,1.7,0.7,11.835,14.202
6,6,3,3,-162.243395584195,1.7_0.7,1.7,0.7,14.202,14.202
6,7,5,5,-163.011344937936,1.7_0.1,1.7,0.1,16.569,14.202
