y,x,zone,phase_zone,S21_ang_deg_floqport,unique_name,top_length_2_mm,top_length_3_mm,x_abs,y_abs
0,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,0.0
0,1,9,9,-218.479861015916,1.7_1.9,1.7,1.9,2.367,0.0
0,2,9,9,-218.479861015916,1.7_1.9,1.7,1.9,4.734,0.0
0,3,9,9,-218.479861015916,1.7_1.9,1.7,1.9,7.101,0.0
0,4,9,9,-218.479861015916,1.7_1.9,1.7,1.9,9.468,0.0
0,5,9,9,-218.479861015916,1.7_1.9,1.7,1.9,11.835,0.0
0,6,9,9,-218.479861015916,1.7_1.9,1.7,1.9,14.202,0.0
0,7,9,9,-218.479861015916,1.7_1.9,1.7,1.9,16.569,0.0
0,8,9,9,-218.479861015916,1.7_1.9,1.7,1.9,18.936,0.0
0,9,9,9,-218.479861015916,1.7_1.9,1.7,1.9,21.303,0.0
0,10,9,9,-218.479861015916,1.7_1.9,1.7,1.9,23.67,0.0
0,11,9,9,-218.479861015916,1.7_1.9,1.7,1.9,26.037,0.0
0,12,9,9,-218.479861015916,1.7_1.9,1.7,1.9,28.404,0.0
0,13,9,9,-218.479861015916,1.7_1.9,1.7,1.9,30.771,0.0
0,14,9,9,-218.479861015916,1.7_1.9,1.7,1.9,33.138,0.0
0,15,9,9,-218.479861015916,1.7_1.9,1.7,1.9,35.505,0.0
0,16,9,9,-218.479861015916,1.7_1.9,1.7,1.9,37.872,0.0
0,17,9,9,-218.479861015916,1.7_1.9,1.7,1.9,40.239,0.0
1,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,2.367
1,1,8,8,-206.003099050179,1.5_1.9,1.5,1.9,2.367,2.367
1,2,8,8,-206.003099050179,1.5_1.9,1.5,1.9,4.734,2.367
1,3,8,8,-206.003099050179,1.5_1.9,1.5,1.9,7.101,2.367
1,4,8,8,-206.003099050179,1.5_1.9,1.5,1.9,9.468,2.367
1,5,8,8,-206.003099050179,1.5_1.9,1.5,1.9,11.835,2.367
1,6,8,8,-206.003099050179,1.5_1.9,1.5,1.9,14.202,2.367
1,7,8,8,-206.003099050179,1.5_1.9,1.5,1.9,16.569,2.367
1,8,8,8,-206.003099050179,1.5_1.9,1.5,1.9,18.936,2.367
1,9,8,8,-206.003099050179,1.5_1.9,1.5,1.9,21.303,2.367
1,10,8,8,-206.003099050179,1.5_1.9,1.5,1.9,23.67,2.367
1,11,8,8,-206.003099050179,1.5_1.9,1.5,1.9,26.037,2.367
1,12,8,8,-206.003099050179,1.5_1.9,1.5,1.9,28.404,2.367
1,13,8,8,-206.003099050179,1.5_1.9,1.5,1.9,30.771,2.367
1,14,8,8,-206.003099050179,1.5_1.9,1.5,1.9,33.138,2.367
1,15,8,8,-206.003099050179,1.5_1.9,1.5,1.9,35.505,2.367
1,16,8,8,-206.003099050179,1.5_1.9,1.5,1.9,37.872,2.367
1,17,9,9,-218.479861015916,1.7_1.9,1.7,1.9,40.239,2.367
2,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,4.734
2,1,8,8,-206.003099050179,1.5_1.9,1.5,1.9,2.367,4.734
2,2,7,7,-164.109986003215,1.7_1.7,1.7,1.7,4.734,4.734
2,3,7,7,-164.109986003215,1.7_1.7,1.7,1.7,7.101,4.734
2,4,7,7,-164.109986003215,1.7_1.7,1.7,1.7,9.468,4.734
2,5,7,7,-164.109986003215,1.7_1.7,1.7,1.7,11.835,4.734
2,6,7,7,-164.109986003215,1.7_1.7,1.7,1.7,14.202,4.734
2,7,7,7,-164.109986003215,1.7_1.7,1.7,1.7,16.569,4.734
2,8,7,7,-164.109986003215,1.7_1.7,1.7,1.7,18.936,4.734
2,9,7,7,-164.109986003215,1.7_1.7,1.7,1.7,21.303,4.734
2,10,7,7,-164.109986003215,1.7_1.7,1.7,1.7,23.67,4.734
2,11,7,7,-164.109986003215,1.7_1.7,1.7,1.7,26.037,4.734
2,12,7,7,-164.109986003215,1.7_1.7,1.7,1.7,28.404,4.734
2,13,7,7,-164.109986003215,1.7_1.7,1.7,1.7,30.771,4.734
2,14,7,7,-164.109986003215,1.7_1.7,1.7,1.7,33.138,4.734
2,15,7,7,-164.109986003215,1.7_1.7,1.7,1.7,35.505,4.734
2,16,8,8,-206.003099050179,1.5_1.9,1.5,1.9,37.872,4.734
2,17,9,9,-218.479861015916,1.7_1.9,1.7,1.9,40.239,4.734
3,0,9,9,-218.479861015916,1.7_1.9,1.7,1.9,0.0,7.101
3,1,8,8,-206.003099050179,1.5_1.9,1.5,1.9,2.367,7.101
3,2,7,7,-164.109986003215,1.7_1.7,1.7,1.7,4.734,7.101
3,3,6,6,-163.045102645397,1.7_0.3,1.7,0.3,7.101,7.101
3,4,6,6,-163.045102645397,1.7_0.3,1.7,0.3,9.468,7.101
3,5,6,6,-163.045102645397,1.7_0.3,1.7,0.3,11.835,7.101
3,6,6,6,-163.045102645397,1.7_0.3,1.7,0.3,14.202,7.101
3,7,6,6,-163.045102645397,1.7_0.3,1.7,0.3,16.569,7.101
3,8,6,6,-163.045102645397,1.7_0.3,1.7,0.3,18.936,7.101
3,9,6,6,-163.045102645397,1.7_0.3,1.7,0.3,21.303,7.101
3,10,6,6,-163.045102645397,1.7_0.3,1.7,0.3,23.67,7.101
3,11,6,6,-163.045102645397,1.7_0.3,1.7,0.3,26.037,7.101
3,12,6,6,-163.045102645397,1.7_0.3,1.7,0.3,28.404,7.101
3,13,6,6,-163.045102645397,1.7_0.3,1.7,0.3,30.771,7.101
