x,y,zone,phase_zone,S21_ang_deg_floqport,unique_name,x_abs,y_abs,top_length_2_mm,top_length_3_mm
0,0,9,9,-218.479861015916,1.7_1.9,0.0,0.0,1.7,1.9
1,0,9,9,-218.479861015916,1.7_1.9,2.367,0.0,1.7,1.9
2,0,9,9,-218.479861015916,1.7_1.9,4.734,0.0,1.7,1.9
3,0,9,9,-218.479861015916,1.7_1.9,7.101,0.0,1.7,1.9
4,0,9,9,-218.479861015916,1.7_1.9,9.468,0.0,1.7,1.9
5,0,9,9,-218.479861015916,1.7_1.9,11.835,0.0,1.7,1.9
6,0,9,9,-218.479861015916,1.7_1.9,14.202,0.0,1.7,1.9
7,0,9,9,-218.479861015916,1.7_1.9,16.569,0.0,1.7,1.9
8,0,9,9,-218.479861015916,1.7_1.9,18.936,0.0,1.7,1.9
9,0,9,9,-218.479861015916,1.7_1.9,21.303,0.0,1.7,1.9
10,0,9,9,-218.479861015916,1.7_1.9,23.67,0.0,1.7,1.9
11,0,9,9,-218.479861015916,1.7_1.9,26.037,0.0,1.7,1.9
12,0,9,9,-218.479861015916,1.7_1.9,28.404,0.0,1.7,1.9
13,0,9,9,-218.479861015916,1.7_1.9,30.771,0.0,1.7,1.9
14,0,9,9,-218.479861015916,1.7_1.9,33.138,0.0,1.7,1.9
15,0,9,9,-218.479861015916,1.7_1.9,35.505,0.0,1.7,1.9
16,0,9,9,-218.479861015916,1.7_1.9,37.872,0.0,1.7,1.9
17,0,9,9,-218.479861015916,1.7_1.9,40.239,0.0,1.7,1.9
18,0,9,9,-218.479861015916,1.7_1.9,42.606,0.0,1.7,1.9
19,0,9,9,-218.479861015916,1.7_1.9,44.973,0.0,1.7,1.9
20,0,9,9,-218.479861015916,1.7_1.9,47.34,0.0,1.7,1.9
21,0,9,9,-218.479861015916,1.7_1.9,49.707,0.0,1.7,1.9
22,0,9,9,-218.479861015916,1.7_1.9,52.074,0.0,1.7,1.9
23,0,9,9,-218.479861015916,1.7_1.9,54.441,0.0,1.7,1.9
24,0,9,9,-218.479861015916,1.7_1.9,56.808,0.0,1.7,1.9
25,0,9,9,-218.479861015916,1.7_1.9,59.175,0.0,1.7,1.9
26,0,9,9,-218.479861015916,1.7_1.9,61.542,0.0,1.7,1.9
27,0,9,9,-218.479861015916,1.7_1.9,63.909,0.0,1.7,1.9
28,0,9,9,-218.479861015916,1.7_1.9,66.276,0.0,1.7,1.9
29,0,9,9,-218.479861015916,1.7_1.9,68.643,0.0,1.7,1.9
30,0,9,9,-218.479861015916,1.7_1.9,71.01,0.0,1.7,1.9
31,0,9,9,-218.479861015916,1.7_1.9,73.377,0.0,1.7,1.9
32,0,9,9,-218.479861015916,1.7_1.9,75.744,0.0,1.7,1.9
0,1,9,9,-218.479861015916,1.7_1.9,0.0,2.367,1.7,1.9
1,1,9,9,-218.479861015916,1.7_1.9,2.367,2.367,1.7,1.9
2,1,9,9,-218.479861015916,1.7_1.9,4.734,2.367,1.7,1.9
3,1,9,9,-218.479861015916,1.7_1.9,7.101,2.367,1.7,1.9
4,1,9,9,-218.479861015916,1.7_1.9,9.468,2.367,1.7,1.9
5,1,9,9,-218.479861015916,1.7_1.9,11.835,2.367,1.7,1.9
6,1,9,9,-218.479861015916,1.7_1.9,14.202,2.367,1.7,1.9
7,1,9,9,-218.479861015916,1.7_1.9,16.569,2.367,1.7,1.9
8,1,9,9,-218.479861015916,1.7_1.9,18.936,2.367,1.7,1.9
9,1,9,9,-218.479861015916,1.7_1.9,21.303,2.367,1.7,1.9
10,1,9,9,-218.479861015916,1.7_1.9,23.67,2.367,1.7,1.9
11,1,9,9,-218.479861015916,1.7_1.9,26.037,2.367,1.7,1.9
12,1,9,9,-218.479861015916,1.7_1.9,28.404,2.367,1.7,1.9
13,1,9,9,-218.479861015916,1.7_1.9,30.771,2.367,1.7,1.9
14,1,9,9,-218.479861015916,1.7_1.9,33.138,2.367,1.7,1.9
15,1,9,9,-218.479861015916,1.7_1.9,35.505,2.367,1.7,1.9
16,1,9,9,-218.479861015916,1.7_1.9,37.872,2.367,1.7,1.9
17,1,9,9,-218.479861015916,1.7_1.9,40.239,2.367,1.7,1.9
18,1,9,9,-218.479861015916,1.7_1.9,42.606,2.367,1.7,1.9
19,1,9,9,-218.479861015916,1.7_1.9,44.973,2.367,1.7,1.9
20,1,9,9,-218.479861015916,1.7_1.9,47.34,2.367,1.7,1.9
21,1,9,9,-218.479861015916,1.7_1.9,49.707,2.367,1.7,1.9
22,1,9,9,-218.479861015916,1.7_1.9,52.074,2.367,1.7,1.9
23,1,9,9,-218.479861015916,1.7_1.9,54.441,2.367,1.7,1.9
24,1,9,9,-218.479861015916,1.7_1.9,56.808,2.367,1.7,1.9
25,1,9,9,-218.479861015916,1.7_1.9,59.175,2.367,1.7,1.9
26,1,9,9,-218.479861015916,1.7_1.9,61.542,2.367,1.7,1.9
27,1,9,9,-218.479861015916,1.7_1.9,63.909,2.367,1.7,1.9
28,1,9,9,-218.479861015916,1.7_1.9,66.276,2.367,1.7,1.9
29,1,9,9,-218.479861015916,1.7_1.9,68.643,2.367,1.7,1.9
30,1,9,9,-218.479861015916,1.7_1.9,71.01,2.367,1.7,1.9
31,1,9,9,-218.479861015916,1.7_1.9,73.377,2.367,1.7,1.9
32,1,9,9,-218.479861015916,1.7_1.9,75.744,2.367,1.7,1.9
0,2,9,9,-218.479861015916,1.7_1.9,0.0,4.734,1.7,1.9
1,2,9,9,-218.479861015916,1.7_1.9,2.367,4.734,1.7,1.9
2,2,9,9,-218.479861015916,1.7_1.9,4.734,4.734,1.7,1.9
3,2,9,9,-218.479861015916,1.7_1.9,7.101,4.734,1.7,1.9
4,2,9,9,-218.479861015916,1.7_1.9,9.468,4.734,1.7,1.9
5,2,9,9,-218.479861015916,1.7_1.9,11.835,4.734,1.7,1.9
6,2,9,9,-218.479861015916,1.7_1.9,14.202,4.734,1.7,1.9
7,2,9,9,-218.479861015916,1.7_1.9,16.569,4.734,1.7,1.9
8,2,9,9,-218.479861015916,1.7_1.9,18.936,4.734,1.7,1.9
9,2,9,9,-218.479861015916,1.7_1.9,21.303,4.734,1.7,1.9
10,2,9,9,-218.479861015916,1.7_1.9,23.67,4.734,1.7,1.9
11,2,9,9,-218.479861015916,1.7_1.9,26.037,4.734,1.7,1.9
12,2,9,9,-218.479861015916,1.7_1.9,28.404,4.734,1.7,1.9
13,2,9,9,-218.479861015916,1.7_1.9,30.771,4.734,1.7,1.9
14,2,9,9,-218.479861015916,1.7_1.9,33.138,4.734,1.7,1.9
15,2,9,9,-218.479861015916,1.7_1.9,35.505,4.734,1.7,1.9
16,2,9,9,-218.479861015916,1.7_1.9,37.872,4.734,1.7,1.9
17,2,9,9,-218.479861015916,1.7_1.9,40.239,4.734,1.7,1.9
18,2,9,9,-218.479861015916,1.7_1.9,42.606,4.734,1.7,1.9
